ratingId,userId,movieId,rating,timestamp
422,4,1968,,986934786
66483,428,2082,,1111525388
41129,279,5152,,1506395428
63138,414,2447,,961438662
33836,230,5952,,1196304332
80453,509,2090,,1436000126
64527,414,45928,,1216149194
20162,132,5508,,1157924787
49708,318,93510,,1417279806
33540,226,55269,,1193119200
5074,33,452,,939716519
23481,160,2253,,971115791
38852,267,589,,994467801
30816,216,2750,,975212699
18278,116,539,,1337199887
42119,288,12,,978622871
62809,414,1382,,961516154
23380,160,1371,,971114422
28610,199,514,,1023655015
72414,467,2334,,919670793
22936,156,2467,,939898085
34621,232,55830,,1247190847
4541,28,8361,,1234516204
17836,111,159093,,1516141954
82863,525,6503,,1476476927
10188,66,3074,,1113190683
81689,517,2090,,1487957858
41184,279,83134,,1506394885
47100,307,2506,,1186172842
20528,135,2683,,1009692098
52822,346,4914,,1094651258
22650,155,1377,,961861424
83847,534,58025,,1459787997
33388,226,4995,,1095663278
23320,160,858,,1058456802
9350,63,30793,,1443368323
60496,391,1089,,1030824751
24306,168,8228,,1306801942
14028,89,155589,,1520409520
37415,249,184015,,1518883048
43922,292,115231,,1442181529
60372,390,6350,,1250340684
51102,330,2291,,1285905355
38771,266,1722,,946768588
79762,495,142488,,1458634614
23330,160,1022,,971619022
47329,307,5349,,1242822663
15173,98,2324,,1532457439
56689,377,1230,,1340344449
76164,479,3428,,1039367349
69082,448,2713,,1039177465
22962,156,2941,,946799180
65033,415,1517,,1382470355
69742,448,53808,,1483731413
24882,176,370,,840108893
51752,334,7451,,1229959397
84663,546,1327,,973588711
18065,113,2475,,980307472
80724,509,71745,,1435992726
61699,408,111759,,1467371225
72310,466,5349,,1439915257
21840,141,69122,,1513132006
29552,202,1372,,974918973
62769,414,1274,,997200022
63056,414,2244,,961514611
65240,418,2959,,1461865568
39564,274,2011,,1171492728
56582,376,1234,,1364933092
40011,274,5833,,1197273492
13381,85,1414,,889467139
27902,190,6711,,1504310102
68038,438,6377,,1105650258
33417,226,5679,,1095713262
13603,89,2324,,1520408266
72299,466,4306,,1439915233
32389,221,1617,,1118246683
74509,474,5876,,1059658500
66662,429,22,,828124615
26460,182,2311,,1055152324
40466,274,60756,,1229332536
6728,45,2762,,959624096
14616,91,5585,,1112717351
63879,414,5171,,1029766679
17460,111,6503,,1516143939
29443,202,596,,975015867
73593,474,1810,,1081862512
70646,452,70,,1013397998
46223,305,7445,,1494083620
9640,64,2124,,1161565612
76335,480,780,,1179177680
53953,356,3052,,1229140805
63200,414,2692,,961436997
76587,480,3418,,1179178070
9845,64,6155,,1161620669
4201,28,50,,1234337966
76893,480,8969,,1179165847
3741,22,39183,,1268726935
41442,281,783,,1182999667
6644,45,1688,,950726248
61019,395,1024,,841505090
18403,117,266,,844162970
28762,199,2467,,1060289150
81905,517,97938,,1488398134
24235,168,608,,1306801670
36412,249,480,,1346847728
36437,249,912,,1410001922
49455,318,51540,,1347014123
14111,90,1353,,856354268
69223,448,3624,,1052647614
12372,76,69122,,1439167917
73375,474,1083,,1047043404
82053,520,2115,,1326609399
51260,331,7143,,1537157858
2983,20,158,,1054038381
83191,527,849,,1033176269
13135,84,287,,858772239
16596,105,45722,,1446571623
42551,288,2355,,978469358
11738,71,260,,864737969
85130,553,431,,1230774414
56276,372,1171,,874416360
60634,391,2395,,1030825372
30649,215,1233,,1260908771
33280,226,2797,,1095662913
49219,318,3992,,1422525001
17782,111,122904,,1516141018
21563,140,5879,,1044405733
21239,140,1343,,949667094
36856,249,45447,,1354896324
7636,51,3108,,1230932119
46111,305,2762,,1460135654
28380,198,648,,1034139174
47146,307,2985,,1189529210
36963,249,60069,,1346758138
42513,288,2134,,975692757
71089,453,3910,,1005965478
80199,504,3556,,1072066341
76054,479,242,,1039362902
5693,41,1569,,1458939387
19278,125,3052,,1474591641
72493,469,474,,965333899
76866,480,8529,,1179163828
48068,312,1200,,1043176581
67251,434,6711,,1271039381
13387,85,1596,,889467110
18424,117,353,,844163121
56789,377,86290,,1340344027
50829,328,5218,,1494211287
10511,68,919,,1158531038
3154,20,4449,,1054037667
2454,19,933,,965705982
67899,438,4306,,1105649535
20685,136,337,,832449391
